country,year,tourism_exports,gdp,inflation,unemployment
Azerbaijan,2014,8.33312369983075,75239785452.1022,1.37344181533176,4.91
Belgium,2014,3.49449225220814,537987419164.351,0.340002833356922,8.523
Bulgaria,2014,12.107981325087,57157782909.9307,-1.4181838026484,11.424
Colombia,2014,7.5519879183493,381240864422.407,2.89883787761738,8.799
Costa Rica,2014,18.9413096506465,52016408854.2658,4.51920098516954,8.499
El Salvador,2014,19.4102721704762,22593470000.0,1.14134467538233,4.154
Finland,2014,5.37589264816249,273478528954.901,1.04119621178439,8.663
France,2014,7.7450011173577,2861236112552.42,0.50775882293799,10.273
Hungary,2014,6.0879019623389,141033843265.669,-0.227566270988219,7.725
Indonesia,2014,5.81771624956107,890814755511.014,6.39492540819922,4.049
Japan,2014,2.40911203154826,4896994405353.29,2.75922671353253,3.589
Kazakhstan,2014,2.90368888167276,221415613595.469,6.84944977003349,5.06
"Korea, Rep.",2014,3.08700359079596,1484488526271.8,1.27477446401322,3.082
Luxembourg,2014,4.79879146120357,68804811897.6445,0.628543985440717,6.044
"Macao SAR, China",2014,92.3275418131011,54902831793.5018,6.04823452094085,1.67
Mauritius,2014,28.6598624175685,13074129952.0532,3.21769191994685,7.467
Mexico,2014,3.87169417221237,1364507717614.13,4.01861608078679,4.819
Moldova,2014,11.0859124415708,9402090137.7423,5.08878554625879,1.425
Norway,2014,3.88343270040643,501736471832.848,2.04170286707211,3.486
Panama,2014,20.330004526423,51427104900.0,2.62652699929151,4.444
Paraguay,2014,2.18127577099684,40377929295.6419,5.02882767456766,5.034
Peru,2014,8.67786327865287,200786250582.943,3.41194579807465,3.208
Romania,2014,2.88206034198765,199722319675.741,1.06830987684298,6.802
Russian Federation,2014,3.45764458268544,2059241589895.01,7.82341183865513,5.212
Slovenia,2014,8.04589912662072,49514466379.6057,0.19934382657075,9.668
Sri Lanka,2014,19.5876588185559,82528535713.926,3.1790022823606,4.157
Turkiye,2014,16.4993157573659,938934609296.966,8.85457271364324,9.901
