Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,country_code,GDP_1year,GDP_2year,GDP_3year,GDP_4year,pop_1year,pop_2year,pop_3year,pop_4year,host,Area,avg_gold,std_gold,avg_silver,std_silver,avg_bronze,std_bronze,avg_total,std_total,life_expectancy
60,61,Moldova,0,1,1,2,2000,MDA,1170782957.0,1698717505.0,1930081169.0,1695122174.0,2930622.0,2935227.0,2936413.0,2947293.0,0.0,33846,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.9428090415820634,67.205
61,61,Saudi Arabia,0,1,1,2,2000,SAU,162000000000.0,147000000000.0,166000000000.0,159000000000.0,15472075.0,14922185.0,14374943.0,13831009.0,0.0,2149690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29
62,61,Trinidad and Tobago,0,1,1,2,2000,TTO,6808982521.0,6043687133.0,5737771217.0,5759570496.0,1314708.0,1310225.0,1305836.0,1300928.0,0.0,5130,0.0,0.0,0.0,0.0,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.9428090415820634,68.509
63,64,Ireland,0,1,0,1,2000,IRL,98893958263.0,90199410116.0,82856648758.0,75790786290.0,3754786.0,3712696.0,3674171.0,3637510.0,0.0,70273,1.3333333333333333,1.247219128924647,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,2.0,1.632993161855452,76.089
64,64,Sri Lanka,0,1,0,1,2000,LKA,15656327860.0,15794972847.0,15091913884.0,13897738375.0,18944731.0,18596003.0,18248200.0,17905018.0,0.0,65610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.427
65,64,Uruguay,0,1,0,1,2000,URY,23983945191.0,25385887786.0,23969738388.0,20515457256.0,3254015.0,3239280.0,3223345.0,3206324.0,0.0,181034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.293
66,64,Vietnam,0,1,0,1,2000,VNM,28683659007.0,27209602050.0,26843700442.0,24657470575.0,76287452.0,75299660.0,74226889.0,73156447.0,0.0,331212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.575
67,68,Georgia,0,0,6,6,2000,GEO,2800026344.0,3613498183.0,3510520231.0,3095047604.0,4157192.0,4243607.0,4349913.0,4491699.0,0.0,69700,0.0,0.0,0.0,0.0,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.9428090415820634,70.012
68,69,Costa Rica,0,0,2,2,2000,CRI,14254866281.0,13684255947.0,12614602382.0,11678424507.0,3862101.0,3782838.0,3701711.0,3619013.0,0.0,51100,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,77.058
69,69,Portugal,0,0,2,2,2000,PRT,127000000000.0,124000000000.0,117000000000.0,123000000000.0,10217828.0,10160196.0,10108977.0,10063945.0,0.0,92090,0.6666666666666666,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,1.0,0.816496580927726,76.322
70,71,Armenia,0,0,1,1,2000,ARM,1845482173.0,1893726437.0,1639492445.0,1596968946.0,3167286.0,3208401.0,3246289.0,3278735.0,0.0,29743,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.9428090415820634,70.418
71,71,Barbados,0,0,1,1,2000,BRB,2951822205.0,2817083478.0,2498384130.0,2363645403.0,262517.0,262436.0,262392.0,262284.0,0.0,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.587
72,71,Chile,0,0,1,1,2000,CHL,75596598517.0,81995749804.0,85728899954.0,78575020639.0,15319313.0,15127799.0,14932434.0,14734046.0,0.0,756102,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,76.738
73,71,Iceland,0,0,1,1,2000,ISL,8982048417.0,8503689104.0,7569673904.0,7426082271.0,277381.0,274047.0,271128.0,268916.0,0.0,103000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.236
74,71,India,0,0,1,1,2000,IND,459000000000.0,421000000000.0,416000000000.0,393000000000.0,1038225823.0,1018665080.0,999133762.0,979678458.0,0.0,3287590,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,62.284
75,71,Israel,0,0,1,1,2000,ISR,121000000000.0,120000000000.0,119000000000.0,115000000000.0,6125000.0,5971000.0,5836000.0,5692000.0,0.0,20770,0.0,0.0,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,1.0,0.816496580927726,78.891
76,71,Kuwait,0,0,1,1,2000,KWT,30122398833.0,25943736431.0,30350207213.0,31492419238.0,1900030.0,1844302.0,1787683.0,1730246.0,0.0,17818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.722
77,71,Kyrgyzstan,0,0,1,1,2000,KGZ,1249061487.0,1645963750.0,1767864036.0,1827570586.0,4840422.0,4769014.5,4696420.5,4628437.5,0.0,199951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.916
